link,text,user_description,user_name,year
https://t.co/6IWkG2qQoX,@rarurul @Celinalok 女曱甴爱食洋肠，全世界都知道了🤣 https://t.co/6IWkG2qQoX,,Overnight,2019
https://t.co/DTp9EmVMer,我是831惨案的目击者，我们在太子站静坐一直到早上五点。这时候他们出动了314159万名黑驚，野蛮地攻击我们的虫群，用死星轰炸群众，抢夺母虫的洋肠，还有香港其他各界朋友，打死人数可说不计其数，而且依次对黄之锋进行了猥亵侮辱。民主斗士黄之锋不堪其辱竟然卧轨自杀了！勿忘831！ #HKSOS https://t.co/DTp9EmVMer,佐逼殖人反贼的野爹/258,𝐋.𝐌𝐀𝐎,2019
https://t.co/0d3IHOtMkb,@gowKE4HReZ7ZBc5 你妈在天台被洋屌肏死，热心市民孙笑川帮你把你亲妈拉去火化，你妈生前做爱视频都出来了 https://t.co/0d3IHOtMkb,🌈🌈🏳️‍🌈LGBT🏳️‍🌈🌈🌈/🙆🙆Feminist🙆🙆,Sun 😁 川-②🖐️8️⃣,2019
https://t.co/PWH70VLeDM,"这两反差婊，一个在北京肉身翻墙，开情趣用品店，自称已被洋屌折服三观。一个福利姬精神日本人，张口闭口一个支那。
该！ https://t.co/PWH70VLeDM",ISTP 男,濑嘢,2019
https://t.co/CqFBCRPagA,"曱甴革命不流血
露天直播吞洋肠
前方勇武拼死战
一炮过去戴绿帽 https://t.co/CqFBCRPagA",ISTP 男,濑嘢,2019
https://t.co/A6FB6MabuZ,@colbert268 驱除洋屌！香港男人加油！ https://t.co/A6FB6MabuZ,From University of Waterloo.,Rory,2019
https://t.co/x5LxhiCMGA,@U7wHiOsJA5ckXpM @Feix_ong 美国洋屌紧急肏烂香港脓批 https://t.co/x5LxhiCMGA,🌈🌈🏳️‍🌈LGBT🏳️‍🌈🌈🌈/🙆🙆Feminist🙆🙆,Sun 😁 川-②🖐️8️⃣,2019
https://t.co/m09FV8jjob,恰洋肠嗷 https://t.co/m09FV8jjob,佐逼殖人反贼的野爹/258,𝐋.𝐌𝐀𝐎,2019
https://t.co/XC4gnftckA,@Vanessa_ZhangUK 因为张柏芝也接受不了露天吸洋屌 https://t.co/XC4gnftckA,,苍炎,2019
https://t.co/eDljs7YfS3,香港理大天台天使，食完洋肠嫁勇武。 https://t.co/eDljs7YfS3 来自 @YouTube,https://t.co/XwynCARBjP is a live panda  https://t.co/l7HLG4jKt1,myunite,2019
https://t.co/tXIc0ayRTC,喜吃洋肠的毛巫婆，这是刚吃完洋肠啊，来个演讲都是high啊 https://t.co/tXIc0ayRTC,,lei乌斯,2019
https://t.co/vSPIEZXmCK,"黑衣暴徒前线「勇武」，曱甴乸后头吃洋肠
#香港暴徒   #香港  #曱甴 https://t.co/vSPIEZXmCK",自由,劉嘉琪,2019
https://t.co/BFYVv2mjO9,曱甴前线白饭腊肠，天使棚顶白皮洋肠🤣🤣🤣🤣 https://t.co/BFYVv2mjO9,民族主义者，看不惯就滚，没人惯着你,Milk🇨🇳,2019
